"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Turkey,14551665,96487,14144080,311098,169451.0,1124.0,148515802,1729430.0,85875602,Asia,3623.0
Turks and Caicos,5874,36,5808,30,148318.0,909.0,419792,10599737.0,39604,North America,757.0
UAE,885407,2302,849991,33114,87727.0,228.0,142522609,14121339.0,10092712,Asia,3281.0
UK,19530485,162738,18229317,1138430,285159.0,2376.0,489876300,7152536.0,68489880,Europe,16622.0
USA,81174677,993811,56071103,24109763,242828.0,2973.0,964386655,2884885.0,334289437,North America,72122.0
Uganda,163506,3594,100117,59795,3393.0,75.0,2501675,51919.0,48183937,Africa,1241.0
Ukraine,4894331,106985,,,113062.0,2471.0,19521252,450954.0,43288827,Europe,16848.0
Uruguay,864376,7095,847793,9488,247380.0,2031.0,5815934,1664493.0,3494117,South America,2715.0
Uzbekistan,237238,1637,234610,991,6919.0,48.0,1377915,40184.0,34290314,Asia,29.0
Vanuatu,239,1,30,208,749.0,3.0,24976,78224.0,319289,Australia/Oceania,651.0
Venezuela,518410,5658,509378,3374,18319.0,200.0,3359014,118695.0,28299498,South America,119.0
Vietnam,6112648,41385,3163571,2907692,61855.0,419.0,81481599,824533.0,98821512,Asia,29424.0
Wallis and Futuna,454,7,438,9,41628.0,642.0,20508,1880433.0,10906,Australia/Oceania,825.0
Yemen,11784,2139,8870,775,381.0,69.0,265253,8574.0,30937480,Asia,25.0
Zambia,315202,3960,309765,1477,16370.0,206.0,3310740,171943.0,19254827,Africa,77.0
Zimbabwe,242515,5414,232205,4896,15924.0,356.0,2133936,140122.0,15229182,Africa,321.0
